evt_time,syscall_type,container_mounts,proc_args,proc_nthreads,proc_nchilds,proc_fdopencount,proc_vmsize,evt_args
21:56:10.056257947,execve,/:/host:rw:true:rslave,-v /etc,1,0,0,528,res=0 exe=grep args=-v./etc. tid=4993(grep) pid=4993(grep) ptid=4990 cwd= fdlimit=1048576 pgft_maj=1 pgft_min=45 vm_size=528 vm_rss=4 vm_swap=0 comm=grep cgroups=cpuset=/docker/6a4b0caeeae7d39e878f777d08e88b335f8ce99824946afc250c1ac56b768d... env=HOSTNAME=user.MONGO_HOST=user-db:27017.sourcesdir=/go/src/github.com/microser... tty=0 pgid=1(systemd) loginuid=-1 flags=0 cap_inheritable=3FFFFFFFFF cap_permitted=0 cap_effective=0
21:56:10.056338702,brk,/:/host:rw:true:rslave,-v /etc,1,0,0,528,addr=0
21:56:10.056339463,brk,/:/host:rw:true:rslave,-v /etc,1,0,0,528,res=5576C9E6A000 vm_size=528 vm_rss=4 vm_swap=0
21:56:10.056356375,access,/:/host:rw:true:rslave,-v /etc,1,0,0,528,mode=0(F_OK)
21:56:10.056363358,access,/:/host:rw:true:rslave,-v /etc,1,0,0,528,res=-2(ENOENT) name=/etc/ld.so.nohwcap
21:56:10.056367195,access,/:/host:rw:true:rslave,-v /etc,1,0,0,528,mode=4(R_OK)
21:56:10.056368859,access,/:/host:rw:true:rslave,-v /etc,1,0,0,528,res=-2(ENOENT) name=/etc/ld.so.preload
21:56:10.056417233,open,/:/host:rw:true:rslave,-v /etc,1,0,0,528,name=/etc/ld.so.cache flags=4097(O_RDONLY|O_CLOEXEC) mode=0
21:56:10.056423715,open,/:/host:rw:true:rslave,-v /etc,1,0,1,528,fd=3(<f>/etc/ld.so.cache) name=/etc/ld.so.cache flags=4097(O_RDONLY|O_CLOEXEC) mode=0 dev=801 ino=1854920
21:56:10.056424626,fstat,/:/host:rw:true:rslave,-v /etc,1,0,1,528,fd=3(<f>/etc/ld.so.cache)
21:56:10.056425969,fstat,/:/host:rw:true:rslave,-v /etc,1,0,1,528,res=0
21:56:10.056426480,mmap,/:/host:rw:true:rslave,-v /etc,1,0,1,528,addr=0 length=17314 prot=1(PROT_READ) flags=2(MAP_PRIVATE) fd=3(<f>/etc/ld.so.cache) offset=0
21:56:10.056428514,mmap,/:/host:rw:true:rslave,-v /etc,1,0,1,548,res=7FC70C73B000 vm_size=548 vm_rss=4 vm_swap=0
21:56:10.056429125,close,/:/host:rw:true:rslave,-v /etc,1,0,1,548,fd=3(<f>/etc/ld.so.cache)
21:56:10.056429836,close,/:/host:rw:true:rslave,-v /etc,1,0,1,548,res=0
21:56:10.056432221,access,/:/host:rw:true:rslave,-v /etc,1,0,0,548,mode=0(F_OK)
21:56:10.056433393,access,/:/host:rw:true:rslave,-v /etc,1,0,0,548,res=-2(ENOENT) name=/etc/ld.so.nohwcap
21:56:10.056435677,open,/:/host:rw:true:rslave,-v /etc,1,0,0,548,name=/lib/x86_64-linux-gnu/libpcre.so.3 flags=4097(O_RDONLY|O_CLOEXEC) mode=0
